country,year,youth_unemployment_rate,unemployment_rate_basic_education_female,total_unemployment_rate,unemployment_rate_advanced_education_female,unemployment_rate_basic_education_male,youth_male_unemployment_rate,male_unemployment_rate,unemployment_rate_advanced_education_male,female_unemployment_rate,youth_female_unemployment_rate,unemployment_rate_intermediate_education_male,unemployment_rate_intermediate_education_female
European Union,2000,20.6763314429197,17.3030298436877,9.70649119804801,7.39731739563047,14.4518440551264,19.3681066299968,8.41459218773428,4.51296052979153,11.3795422917442,22.2840623945854,9.18423953844499,13.9870605342796
European Union,2001,20.1343592112758,16.9526283460324,9.21023289249237,6.5253768085125,15.5030274452593,19.0415377931314,8.15346653845715,4.31382399127622,10.5725764238558,21.5543675461262,10.0571328783512,13.3554823907339
European Union,2002,20.9391060434053,17.1470785041782,9.56474012915663,7.02515886512284,16.2379426161436,19.9961110287284,8.65694597357891,4.68316760350839,10.7261032633986,22.2241827048319,10.5410613102888,13.7554569602332
European Union,2003,20.9128390152704,17.1669242253949,9.70354629905559,6.89831449239695,16.5611337611998,20.2079727986112,8.91132953427,5.0616562712918,10.7068574753411,21.9168875370126,10.5338805744948,13.1621710839976
European Union,2004,21.3120332540964,17.437890673018,9.85574243526537,6.83093690832698,17.0646564531838,20.7460402678209,9.12059885862769,5.13936197138695,10.7817994429709,22.0731084989849,10.4146461776402,12.7412317498175
European Union,2005,21.3627198017334,17.3885684949511,9.6314812794868,6.63388930681385,16.899430633195,20.6237110078059,8.80379543243094,5.04250602324274,10.6678461064464,22.3604226314616,9.70148861395477,12.034693682726
European Union,2006,19.5479145624331,16.3613286219841,8.68652334151983,5.96641054097981,15.269551295923,18.5176204665639,7.86867172708643,4.36777120706558,9.70315512080202,20.9196228008493,8.36106153989724,10.3918314548743
European Union,2007,16.9954111434106,14.03333103778,7.50180506167496,5.23402733640696,13.3459946115356,16.0755160373753,6.78869836107603,3.8179297006227,8.38349881093817,18.2154410471463,6.72835003650662,8.79441978444773
European Union,2008,16.925676415238,13.6047916294216,7.24140110289056,5.15629551226064,12.7321626294436,16.2286858523195,6.65261974422554,3.72310707458243,7.96618822756457,17.8838832320098,6.5139456189976,8.63656320264959
European Union,2009,21.4991850104476,16.819625089201,9.21098128007764,6.25984531460153,17.3114895724225,21.9094222256715,9.06802632616015,5.53441078645597,9.38515098130031,21.1043498432748,9.97152034532766,10.9745285781262
European Union,2010,22.9375151466125,18.2768092856364,9.8727209377786,7.36561519553965,18.8623523783525,23.0751490747044,9.73941061937593,6.03542641522575,10.0339555604425,22.8706634148371,10.8682393236508,12.2383348630727
European Union,2011,23.7345002296313,19.1417597563728,9.92759950838198,7.95908837338068,19.4619239372443,23.520836512005,9.72535190596307,6.67480188439843,10.1703607503217,24.132200646587,11.5009281641257,13.5588100359655
European Union,2012,25.9465152029223,21.7004049401817,10.8752261644437,9.49701829255728,21.6010789025368,25.8343785428432,10.718873910461,7.78774029263989,11.0616880647261,26.1920697367609,13.5889021696414,15.7839100651517
European Union,2013,26.9277750407043,22.9824866459278,11.3499080660671,10.5401406165153,22.2593217466704,26.7679492098139,11.2410090073683,8.41058256048602,11.4793403267035,27.2271670617345,14.3353997130595,16.4919672812669
European Union,2014,25.9655958052284,22.2608130067506,10.8266686494913,9.83952879094915,21.0250273367963,25.8672134923113,10.6580230109819,7.70156826321954,11.0262460269669,26.1709427439483,13.4859448520375,16.2971059493355
European Union,2015,24.2268727448673,20.7332694021621,10.018398713185,9.19081464667648,19.0539883299083,24.3032319963265,9.88435630716477,6.93914209271769,10.1773047674126,24.2257255453328,11.8330011670473,14.8582222426756
European Union,2016,22.4187460749536,19.9643121584719,9.10766131721785,8.38495349944807,17.4025100438632,22.377839759973,8.88849420812643,6.06831001614121,9.36685256490371,22.5593768139838,10.5703656818458,13.9772618444437
European Union,2017,20.0954856356213,18.6786679137589,8.13407491332889,7.57584338467704,15.7229498116739,20.1316558025548,7.88029694145074,5.40731717845073,8.43341459091594,20.1243418057511,9.45986398282927,12.7371152130613
European Union,2018,18.1239928415732,17.518848510028,7.25592359475734,6.82040588438536,14.1403014319373,18.2235804809683,6.99637438478521,4.90371278870236,7.56182365619411,18.0912280608474,8.43895947577946,11.7699090474926
European Union,2019,16.9816828084727,16.6192561843741,6.68857556375924,6.37350390814583,13.1567682390482,16.9451649485504,6.41212523200771,4.71998339826729,7.01398451031573,17.106184765506,7.85319214280512,10.8817526126413
European Union,2020,18.9867430954116,16.8731295637036,7.05350210339032,6.49197345529042,13.3527822467817,18.5592311804087,6.79509424574278,5.15465439944885,7.35818508215304,19.6223321333379,8.53923076563918,11.4436803224008
European Union,2021,18.7313872664131,17.2929126025161,7.0141845372126,6.21795176580204,13.5402266899912,18.2833121142051,6.73707960590282,4.88429206929661,7.33787662319405,19.4043479400555,7.9697487474302,11.2374619794537
European Union,2022,16.3625563836776,16.0355703059122,6.14423464736459,5.17567173138972,12.0235286677652,16.2087726130356,5.84655490893154,4.16317692647954,6.49084656091739,16.6585069009954,6.85883559391842,9.88725701698598
European Union,2023,16.1799223564178,15.0275268371311,6.02506580748964,5.11279709678327,11.8274057784391,16.3208352929871,5.75543989859888,3.88420596304334,6.33698245173923,16.0881771928191,6.79492099432253,9.22655288900477
