country,year,male_unemployment_rate
Czechia,2023,2.203
Czechia,2022,1.788
Czechia,2021,2.308
Czechia,2020,2.23
Czechia,2019,1.724
Czechia,2018,1.794
Czechia,2017,2.341
Czechia,2016,3.379
Czechia,2015,4.233
Czechia,2014,5.1
Czechia,2013,5.904
Czechia,2012,6.025
Czechia,2011,5.799
Czechia,2010,6.381
Czechia,2009,5.846
Czechia,2008,3.46
Czechia,2007,4.22
Czechia,2006,5.811
Czechia,2005,6.459
Czechia,2004,7.028
Czechia,2003,6.108
Czechia,2002,5.901
Czechia,2001,6.739
Czechia,2000,7.33
