country,year,total_unemployment_rate
Czechia,2023,2.579
Czechia,2022,2.224
Czechia,2021,2.803
Czechia,2020,2.55
Czechia,2019,2.015
Czechia,2018,2.246
Czechia,2017,2.893
Czechia,2016,3.952
Czechia,2015,5.048
Czechia,2014,6.108
Czechia,2013,6.953
Czechia,2012,6.979
Czechia,2011,6.712
Czechia,2010,7.281
Czechia,2009,6.662
Czechia,2008,4.392
Czechia,2007,5.316
Czechia,2006,7.141
Czechia,2005,7.927
Czechia,2004,8.298
Czechia,2003,7.777
Czechia,2002,7.28
Czechia,2001,8.128
Czechia,2000,8.764
