country,year,female_unemployment_rate
Czechia,2023,3.039
Czechia,2022,2.767
Czechia,2021,3.426
Czechia,2020,2.954
Czechia,2019,2.378
Czechia,2018,2.81
Czechia,2017,3.585
Czechia,2016,4.674
Czechia,2015,6.08
Czechia,2014,7.396
Czechia,2013,8.287
Czechia,2012,8.205
Czechia,2011,7.895
Czechia,2010,8.46
Czechia,2009,7.728
Czechia,2008,5.611
Czechia,2007,6.736
Czechia,2006,8.84
Czechia,2005,9.799
Czechia,2004,9.91
Czechia,2003,9.888
Czechia,2002,9.031
Czechia,2001,9.878
Czechia,2000,10.567
